20160623,MLB-704475174,3679
20160624,MLB-704475174,3679
20160628,MLB-704475174,3680
20160629,MLB-704475174,3680
20160630,MLB-704475174,3680
20160705,MLB-704475174,3681
20160706,MLB-704475174,3687
20160707,MLB-704475174,3688
20160712,MLB-704475174,3696
20160713,MLB-704475174,3696
20160718,MLB-704475174,3698
20160720,MLB-704475174,3709
20160623,MLB-707228119,330
20160624,MLB-707228119,332
20160628,MLB-707228119,335
20160629,MLB-707228119,335
20160718,MLB-707228119,336
20160720,MLB-707228119,337
